% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
6.082	1	0	2	5317.89	0
6.083	1	0	3	334.318	0
6.084	1	0	4	619.332	0
6.085	1	0	5	312.181	0
6.086	1	0	6	1311.9	0
6.087	1	0	7	416.3	0
6.088	1	0	8	449.8	0
6.089	1	0	9	510.741	0
6.09	1	0	10	310.599	0
6.091	1	0	11	436.925	0
6.092	1	0	12	4324.87	0
6.093	1	0	13	391.384	0
6.094	1	0	14	5325	0
6.095	1	0	15	602.506	0
6.096	1	0	16	333.861	0
6.097	1	0	17	381.792	0
6.098	1	0	18	481.201	0
6.099	1	0	19	1177.15	0
6.1	1	0	20	484.654	0
6.101	1	0	21	2430.28	0
6.102	1	0	22	441.173	0
6.103	1	0	23	410.331	0
6.104	1	0	24	275.405	0
6.105	1	0	25	1062.33	0
6.106	1	0	26	651.725	0
6.107	1	0	27	772.302	0
6.108	1	0	28	459.258	0
6.109	1	0	29	1010.73	0
6.11	1	0	30	291.14	0
6.401	1	0	1	456.579	0
6.402	1	0	2	5318.07	0
6.403	1	0	3	333.851	0
6.404	1	0	4	622.941	0
6.405	1	0	5	312.314	0
6.406	1	0	6	1311.76	0
6.407	1	0	7	419.294	0
6.408	1	0	8	450.523	0
6.409	1	0	9	510.741	0
6.41	1	0	10	310.632	0
6.411	1	0	11	437.031	0
6.412	1	0	12	4324.87	0
6.413	1	0	13	391.743	0
6.414	1	0	14	5325.01	0
6.415	1	0	15	602.506	0
6.416	1	0	16	333.861	0
6.417	1	0	17	382.384	0
6.418	1	0	18	481.201	0
6.419	1	0	19	1172.22	0
6.42	1	0	20	484.654	0
6.421	1	0	21	2427.22	0
6.422	1	0	22	440.985	0
6.423	1	0	23	410.331	0
6.424	1	0	24	275.405	0
6.425	1	0	25	1062.33	0
6.426	1	0	26	651.725	0
6.427	1	0	27	774.071	0
6.428	1	0	28	457.874	0
6.429	1	0	29	1010.62	0
6.43	1	0	30	290.24	0
6.721	1	0	1	454.784	0
6.722	1	0	2	5318.36	0
6.723	1	0	3	333.364	0
6.724	1	0	4	626.575	0
6.725	1	0	5	312.445	0
6.726	1	0	6	1311.62	0
6.727	1	0	7	422.317	0
6.728	1	0	8	451.115	0
6.729	1	0	9	510.741	0
6.73	1	0	10	310.662	0
6.731	1	0	11	437.136	0
6.732	1	0	12	4324.87	0
6.733	1	0	13	392.102	0
6.734	1	0	14	5325.01	0
6.735	1	0	15	602.506	0
6.736	1	0	16	333.861	0
6.737	1	0	17	382.977	0
6.738	1	0	18	481.201	0
6.739	1	0	19	1167.33	0
6.74	1	0	20	484.654	0
6.741	1	0	21	2424.11	0
6.742	1	0	22	440.797	0
6.743	1	0	23	410.331	0
6.744	1	0	24	275.405	0
6.745	1	0	25	1062.33	0
6.746	1	0	26	651.725	0
6.747	1	0	27	775.826	0
6.748	1	0	28	456.495	0
6.749	1	0	29	1010.5	0
6.75	1	0	30	289.344	0
7.041	1	0	1	452.999	0
7.042	1	0	2	5318.7	0
7.043	1	0	3	332.857	0
7.044	1	0	4	630.234	0
7.045	1	0	5	312.615	0
7.046	1	0	6	1311.48	0
7.047	1	0	7	425.37	0
7.048	1	0	8	448.122	0
7.049	1	0	9	510.741	0
7.05	1	0	10	310.69	0
7.051	1	0	11	437.242	0
7.052	1	0	12	4324.87	0
7.053	1	0	13	392.462	0
7.054	1	0	14	5325.01	0
7.055	1	0	15	602.506	0
7.056	1	0	16	333.861	0
7.057	1	0	17	383.571	0
7.058	1	0	18	481.201	0
7.059	1	0	19	1162.46	0
7.06	1	0	20	484.654	0
7.061	1	0	21	2420.95	0
7.062	1	0	22	440.608	0
7.063	1	0	23	410.331	0
7.064	1	0	24	275.405	0
7.065	1	0	25	1062.33	0
7.066	1	0	26	651.725	0
7.067	1	0	27	777.568	0
7.068	1	0	28	455.122	0
7.069	1	0	29	1010.38	0
7.07	1	0	30	288.452	0
7.361	1	0	1	451.223	0
7.362	1	0	2	5319.05	0
7.363	1	0	3	332.742	0
7.364	1	0	4	633.918	0
7.365	1	0	5	313.414	0
7.366	1	0	6	1311.33	0
7.367	1	0	7	428.452	0
7.368	1	0	8	445.125	0
7.369	1	0	9	510.741	0
7.37	1	0	10	310.716	0
7.371	1	0	11	437.348	0
7.372	1	0	12	4324.87	0
7.373	1	0	13	392.822	0
7.374	1	0	14	5325.01	0
7.375	1	0	15	602.506	0
7.376	1	0	16	333.861	0
7.377	1	0	17	384.167	0
7.378	1	0	18	481.201	0
7.379	1	0	19	1157.62	0
7.38	1	0	20	484.654	0
7.381	1	0	21	2417.73	0
7.382	1	0	22	440.419	0
7.383	1	0	23	410.331	0
7.384	1	0	24	275.405	0
7.385	1	0	25	1062.33	0
7.386	1	0	26	651.725	0
7.387	1	0	27	779.296	0
7.388	1	0	28	453.754	0
7.389	1	0	29	1010.26	0
